,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
77,Estonia,2017,5.938395977,10.2858448,0.93568635,67.28438568,0.861749232,-0.109588325,0.668402255,0.805217981,0.160164103,0.405946255,NA,NA,1.8518399,0.311841756,0.333,0.396599621
78,Ethiopia,2016,4.297848701,7.382928848,0.718718708,56.29738235,0.744307697,0.048651736,0.702880859,0.727070868,0.253940523,0.748945594,-1.507640004,-0.643243372,1.808982134,0.4209041,0.315,0.520988226
79,Ethiopia,2017,4.180315495,7.43928194,0.73353976,56.72826767,0.717101216,0.011871224,0.75689894,0.608514786,0.304436177,0.768354297,NA,NA,1.829915881,0.437745869,0.315,0.420267493
80,Finland,2016,7.659843445,10.58463955,0.953940451,71.51737213,0.948372185,-0.03667929,0.249659568,0.797325075,0.181998447,0.485727251,1.223631263,1.99170208,1.479018688,0.193087325,0.275909091,0.394821227
81,Finland,2017,7.788251877,10.61233807,0.963826418,71.69696045,0.962198973,-0.012173655,0.192412779,0.787137091,0.176065788,0.59753859,NA,NA,1.416398287,0.181863442,0.275909091,0.425614446
82,France,2016,6.475208759,10.54688931,0.884922922,72.58893585,0.786780477,-0.10183014,0.622697055,0.772661328,0.27003625,0.283978164,0.506173968,1.312436581,1.801529646,0.278219551,0.3203,0.340985149
83,France,2017,6.635222435,10.56077385,0.931494594,72.58893585,0.83389014,-0.133584961,0.601486027,0.762097776,0.241983935,0.37479353,NA,NA,1.631064415,0.245819107,0.3203,0.372855246
84,Gabon,2016,4.831764221,9.728300095,0.780048966,56.71354675,0.698942363,-0.226150796,0.816563547,0.640116572,0.432404667,0.378069758,-0.516067624,-0.730402172,2.214463711,0.458313704,0.422,0.55723691
85,Gabon,2017,4.782382965,9.715631485,0.806941152,57.1261673,0.652359545,-0.2508322,0.868305504,0.634047151,0.446124285,0.286989242,NA,NA,2.457131147,0.513788044,0.422,0.58923018
86,Georgia,2016,4.448386192,9.135268211,0.533412278,64.2196579,0.606468379,-0.237453327,0.560924053,0.563896,0.223224476,0.344541132,-0.034774855,0.640127957,1.960208535,0.440656096,0.4034375,0.4409917
87,Georgia,2017,4.45077467,9.1690979,0.590495169,64.34745026,0.820908785,-0.231422603,0.589631975,0.581127703,0.209639609,0.296396226,NA,NA,1.775079966,0.39882496,0.4034375,0.454276502
88,Germany,2016,6.873763084,10.69784451,0.906029284,71.07910156,0.870515049,0.138018474,0.445922136,0.737745941,0.187254936,0.552613556,1.043180943,1.748804927,1.775906086,0.258360088,0.311571429,0.354512513
89,Germany,2017,7.074324608,10.71118355,0.892166078,71.07910156,0.840727866,0.135307536,0.414021194,0.736565709,0.196434811,0.622935653,NA,NA,1.441730261,0.203797579,0.311571429,0.319597334
90,Ghana,2016,4.514411449,8.289088249,0.647303164,54.61029434,0.75116837,0.094788618,0.893955231,0.668263912,0.304909706,0.516604602,0.240180761,-0.151163995,2.737042665,0.606290042,0.425,0.543426812
91,Ghana,2017,5.481310844,8.326971054,0.669111073,54.8658905,0.783046365,0.084990479,0.838609993,0.702511728,0.247518942,0.670288563,NA,NA,2.551119566,0.465421438,0.425,0.50120151
92,Greece,2016,5.302619457,10.09730911,0.802605867,71.647789,0.481616855,-0.266483158,0.898470819,0.700504363,0.336207509,0.132486552,0.257411957,0.125827178,2.317297935,0.43701005,0.346909091,0.317848623
93,Greece,2017,5.14824152,10.11751747,0.752899528,71.7803421,0.438300014,-0.296734989,0.87223947,0.60293901,0.332830757,0.139880896,NA,NA,2.411631107,0.468437821,0.346909091,0.346705943
94,Guatemala,2016,6.358916283,8.904734612,0.811235487,63.14004898,0.862675726,0.008398513,0.812030017,0.846122503,0.321357191,0.468962193,-0.422242403,-0.646931469,2.699421883,0.424509734,0.52675,0.48915869
95,Guatemala,2017,6.325118542,8.918908119,0.826492071,63.38197708,0.914521694,-0.0617286,0.799747884,0.845865786,0.308086157,0.458623856,NA,NA,2.858946085,0.4519988,0.52675,0.495318562
96,Guinea,2016,3.602854729,7.508424759,0.675447047,50.66684341,0.725685179,-0.043400712,0.802781165,0.686984658,0.374393791,0.465695828,-0.569726825,-1.026624203,2.118486643,0.588002264,0.387,0.520185173
97,Guinea,2017,4.873722553,7.527477264,0.634025574,51.15181732,0.738212824,0.054307584,0.750026226,0.704477131,0.422460884,0.639980793,NA,NA,2.969935417,0.609377205,0.387,0.618353307
